Program:,Program link:,County:,Savings (electricity consumption reduction in kwh):,MEA contribution:,Total project cost:,Location 1
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,0.767,483.25,1095.00,"Columbia, MD 210441709
(39.21588000026196, -76.87450999993638)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,0.666,398.20,952.00,"District Heights, MD 207474906
(38.85313999981133, -76.88883999976605)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,0.77,485.00,1100.00,"Glen Burnie, MD 210614513
(39.15671999972835, -76.62921000044099)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Harford,0.819,412.50,1170.25,"Edgewood, MD 210402907
(39.43012000003813, -76.30388000026164)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,0.791,495.50,1130.00,"Towson, MD 212861450
(39.40011000017654, -76.58472999968956)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,0.659,329.35,941.00,"Frederick, MD 217014935
(39.425139999711405, -77.39080999968161)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,0.832,516.15,1189.00,"Millersville, MD 211081489
(39.10140999957201, -76.62140000000983)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,0.7,450.00,1000.00,"College Park, MD 207403704
(38.99670000020501, -76.92859999959018)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,0.74,434.77,1056.50,"District Heights, MD 207471851
(38.85313999981133, -76.88883999976605)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,0.687,443.35,981.00,"Gaithersburg, MD 208822400
(39.228170000445346, -77.16269999970507)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,0.706,312.85,1008.15,"Chevy Chase, MD 208154712
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,0.735,367.50,1050.00,"Rockville, MD 208511436
(39.07642000008309, -77.1214399999559)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Charles,0.92,402.40,1314.00,"Waldorf, MD 206023193
(38.600780000296936, -76.9011099999264)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,0.986,557.79,1408.00,"District Heights, MD 207472433
(38.85313999981133, -76.88883999976605)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,0.916,558.02,1308.63,"Rockville, MD 208505696
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,0.875,502.66,1250.45,"Chevy Chase, MD 208156207
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,0.855,326.10,1221.00,"Baltimore, MD 212102531
(39.35001999972337, -76.63188000036155)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,0.868,499.00,1240.00,"Ocean City, MD 218429328
(38.391550000432346, -75.07021000039106)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,0.959,530.50,1370.00,"Damascus, MD 208722179
(39.28261999961347, -77.21232999962962)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,0.854,527.00,1220.00,"Highland, MD 207779784
(39.177500000224995, -76.96719000031811)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,0.992,560.88,1416.80,"Chevy Chase, MD 208155255
(38.97726999991073, -77.0824299996446)"
